Date,Open Price,High Price,Low Price,Close Price
21-Sep-17,268.9,279.8,263.5,271.85
22-Sep-17,267.9,273.5,245,248.95
25-Sep-17,248,248.8,224.1,224.65
26-Sep-17,219,242.9,218.2,235.6
27-Sep-17,238.25,245.75,222.55,226.05
28-Sep-17,228,231.8,222.3,225.7
29-Sep-17,227.5,238.5,227.4,229.65
3-Oct-17,233,237.75,228.65,235.3
4-Oct-17,236.2,240.9,232.2,235.45
5-Oct-17,236.4,258.95,235.8,258.95
6-Oct-17,263.7,276.2,263,266.6
9-Oct-17,268.7,288.45,264.15,279.3
10-Oct-17,281.2,294.7,280.95,285
11-Oct-17,287.75,292.8,259,270.1
12-Oct-17,272.5,281.4,262.05,275.65
13-Oct-17,276.15,280.9,272.1,273
16-Oct-17,275.3,278.25,268.1,270.8
17-Oct-17,271,278.25,268.1,273.05
18-Oct-17,273.8,275.9,269.15,270.3
19-Oct-17,270.65,272.8,265.55,267.55
23-Oct-17,272.25,284,267.55,272.2
24-Oct-17,273,274.65,265.1,266.4
25-Oct-17,268.1,269.7,250.25,253.9
26-Oct-17,252.85,275,248,268.7
27-Oct-17,271.6,274.85,266.85,270.4
30-Oct-17,272.1,278,269.4,273.4
31-Oct-17,273,274,267.7,268.55
1-Nov-17,269.3,274.45,266.3,267.25
2-Nov-17,267.5,269.95,262.4,263.9
3-Nov-17,264.6,271.8,262,264.65
6-Nov-17,262.8,266.5,259.2,260.45
7-Nov-17,261.5,263.5,252,253.45
8-Nov-17,253.45,263.8,248.15,250.55
9-Nov-17,252.95,258.9,249,253.1
10-Nov-17,251.9,254.3,245.6,246.95
13-Nov-17,247.9,247.9,239.4,240.45
14-Nov-17,236.4,288.5,236.4,288.5
15-Nov-17,295,306.4,265.3,270.45
16-Nov-17,274.5,284.9,274,280.35
17-Nov-17,283,286.6,268.35,270.8
20-Nov-17,270.8,284.7,265.2,277.35
21-Nov-17,279,284,272,274.3
22-Nov-17,275.9,278.5,268.65,271.35
23-Nov-17,272.6,284.7,268.85,274.45
24-Nov-17,275.8,279.6,270.95,271.8
27-Nov-17,272.5,276.3,270.2,271.05
28-Nov-17,272.6,275.9,268.7,270.1
29-Nov-17,271.1,278.45,268.05,271.9
30-Nov-17,270.8,273.8,268.1,269.25
1-Dec-17,271.25,275,264,264.75
4-Dec-17,267.95,268.55,255.8,258.4
5-Dec-17,257.9,257.9,249.5,252
6-Dec-17,250,265.35,247.4,254.35
7-Dec-17,256.35,262.8,253.85,258.8
8-Dec-17,260.7,264.85,258.65,259.85
11-Dec-17,262,262.5,257,258.05
12-Dec-17,258.3,264.2,255.3,256.55
13-Dec-17,256.9,259.5,249.85,251.8
14-Dec-17,253,254.5,246,248.85
15-Dec-17,252,256.7,251.25,251.9
18-Dec-17,250.6,263.95,240,256.95
19-Dec-17,259.4,273.9,258.25,270.25
20-Dec-17,271,274.7,265.75,267.75
21-Dec-17,268.75,269.4,263,264.2
22-Dec-17,265,267.5,260.5,262.1
26-Dec-17,262.6,267.85,258.4,262.2
27-Dec-17,265,269.4,261.7,263.7
28-Dec-17,264.7,265.8,260.1,261.5
29-Dec-17,262.8,272.15,261,264.45
1-Jan-18,265,268.5,261.5,263.1
2-Jan-18,264,265.6,255.6,259.85
3-Jan-18,261.45,265,258.3,259.8
4-Jan-18,261.3,281.4,260,276.8
5-Jan-18,279,280.5,271,272.5
8-Jan-18,273.9,276,270.55,271.9
9-Jan-18,273,274.6,266.25,268.5
